areas,bathrooms,bedrooms,price,coord,class
79.0,2.0,2.0,6134,"(-22.954389499999998, -43.1867818)",0.0
100.0,3.0,2.0,24536,"(-22.9862375, -43.209178200000004)",0.0
400.0,1.0,3.0,47185,"(-22.9862375, -43.209178200000004)",0.0
160.0,5.0,3.0,12268,"(-22.9938255, -43.35094820000001)",0.0
88.0,2.0,2.0,5285,"(-22.938056600000003, -43.1832597)",0.0
97.0,2.0,3.0,5624,"(-22.9631893, -43.2225979)",0.0
48.0,1.0,2.0,2831,"(-22.9548472, -43.3765899)",0.0
198.0,2.0,4.0,11324,"(-23.014923800000002, -43.407209)",0.0
124.0,4.0,3.0,5455,"(-23.0111148, -43.46874260000001)",0.0
190.0,1.0,4.0,8456,"(-22.9274038, -43.2370177)",0.0
120.0,2.0,3.0,11324,"(-22.981271300000003, -43.2004164)",0.0
82.0,2.0,3.0,4719,"(-12.8059674, -41.3322919)",0.0
130.0,3.0,3.0,6419,"(-22.9323641, -43.1821872)",0.0
52.0,1.0,2.0,2076,"(-22.90999110000001, -43.2406283)",0.0
82.0,1.0,2.0,4719,"(-22.9654545, -43.18084520000001)",0.0
64.0,1.0,2.0,3586,"(-22.8049732, -43.219866107721046)",0.0
119.0,2.0,3.0,4341,"(-22.925340300000002, -43.2197594)",1.0
90.0,3.0,2.0,4341,"(-22.924047, -43.23641660000001)",0.0
60.0,2.0,2.0,2642,"(-22.9454515, -43.33619829999999)",0.0
75.0,2.0,3.0,4719,"(-22.9665038, -43.371319299999996)",0.0
68.0,2.0,2.0,2642,"(-22.9079117, -43.2974949)",1.0
58.0,2.0,2.0,3020,"(-22.9548472, -43.3765899)",0.0
95.0,2.0,2.0,3209,"(-22.9144875, -43.2340037)",0.0
64.0,2.0,2.0,4152,"(-23.004933800000003, -43.3312167)",0.0
64.0,1.0,2.0,3020,"(-22.9258587, -43.3152522)",0.0
73.0,2.0,3.0,4530,"(-22.9665038, -43.371319299999996)",0.0
70.0,2.0,2.0,4907,"(-22.9358536, -43.1816344)",0.0
61.0,3.0,2.0,2642,"(-22.9258587, -43.3152522)",0.0
70.0,2.0,2.0,8493,"(-23.0089194, -43.307098499999995)",0.0
80.0,2.0,2.0,3586,"(-22.8132755, -43.2114737)",0.0
78.0,2.0,2.0,3775,"(-22.9729927, -43.3674395)",0.0
85.0,3.0,3.0,3209,"(-23.0177482, -43.4667998)",0.0
66.0,2.0,2.0,3775,"(-22.9065343, -43.22061420000001)",0.0
110.0,4.0,2.0,6983,"(-22.9393527, -43.1745967)",0.0
60.0,2.0,2.0,2076,"(-22.9308143, -43.371767)",1.0
60.0,2.0,2.0,2076,"(-22.91750395, -43.395577716649846)",0.0
66.0,3.0,2.0,1699,"(-22.9014952, -43.3525042)",0.0
90.0,3.0,2.0,4152,"(-22.912447600000004, -43.2220924)",0.0
75.0,3.0,2.0,3869,"(-22.9275788, -43.24193629999999)",0.0
85.0,3.0,2.0,3492,"(-22.922655, -43.2302143)",0.0
47.0,2.0,2.0,2642,"(-22.8861097, -43.2879583)",0.0
50.0,2.0,2.0,2642,"(-22.92126780000001, -43.255565399999995)",0.0
57.0,2.0,2.0,2359,"(-22.94624115, -43.557178065955135)",0.0
90.0,3.0,3.0,3397,"(-23.0188373, -43.4620261)",0.0
58.0,2.0,2.0,2788,"(-22.924370800000002, -43.208937)",0.0
110.0,3.0,3.0,2265,"(-22.8946047, -43.3549007)",0.0
45.0,2.0,1.0,3020,"(-22.9913592, -43.2675329)",0.0
60.0,1.0,2.0,2076,"(-22.928988, -43.353419099999996)",1.0
380.0,3.0,4.0,28311,"(-22.9803652, -43.2139765)",0.0
70.0,2.0,1.0,2454,"(-22.9215236, -43.248205299999995)",0.0
316.0,6.0,3.0,41523,"(-23.0048388, -43.366279799999994)",0.0
154.0,3.0,3.0,6040,"(-22.9408899, -43.3422564)",1.0
278.0,5.0,4.0,24536,"(-23.0048388, -43.366279799999994)",0.0
64.0,1.0,2.0,4341,"(-22.977750399999998, -43.222481)",0.0
176.0,3.0,4.0,16987,"(-22.9434938, -43.1613911)",0.0
373.0,4.0,4.0,15099,"(-10.8040231, -37.1658336)",0.0
50.0,,1.0,5285,"(-22.975583899999997, -43.193523600000006)",0.0
48.0,1.0,2.0,1793,"(-22.939245899999996, -43.3212971)",0.0
88.0,1.0,2.0,5851,"(-22.9777288, -43.224804999999996)",0.0
70.0,1.0,2.0,5473,"(-22.9219495, -43.2345965)",0.0
70.0,1.0,1.0,5662,"(-22.9766415, -43.188297)",0.0
80.0,1.0,2.0,2925,"(-22.9233439, -43.2640862)",0.0
89.0,2.0,2.0,2831,"(-22.8917275, -43.2826428)",0.0
100.0,2.0,3.0,4152,"(-22.9642979, -43.1771955)",0.0
40.0,1.0,2.0,2265,"(-22.9319478, -43.1969954)",0.0
55.0,1.0,2.0,2454,"(-22.9248493, -43.3596031)",0.0
125.0,2.0,3.0,9060,"(-23.014923800000002, -43.407209)",0.0
61.0,1.0,2.0,1510,"(-22.91750395, -43.395577716649846)",0.0
200.0,,3.0,13212,"(-22.9766415, -43.188297)",0.0
200.0,,4.0,15099,"(-22.953218300000003, -43.1695399)",0.0
70.0,1.0,3.0,1604,"(-22.89857210000001, -43.2689279)",0.0
55.0,2.0,2.0,2076,"(-22.957320899999996, -43.3434716)",1.0
85.0,3.0,3.0,3567,"(-22.915698100000004, -43.2319433)",0.0
250.0,1.0,3.0,14911,"(-22.9766415, -43.188297)",0.0
22.0,1.0,1.0,1472,"(-30.0342118, -51.2393593)",0.0
110.0,1.0,3.0,2831,"(-22.980819399999998, -43.1910909)",0.0
58.0,1.0,2.0,2265,"(-22.9519909, -43.3872901)",1.0
70.0,2.0,1.0,4719,"(-22.9607745, -43.2028991)",0.0
291.0,,4.0,18874,"(-23.014923800000002, -43.407209)",0.0
135.0,2.0,3.0,3775,"(-22.91525, -43.2102423)",0.0
90.0,2.0,2.0,15099,"(-22.9848957, -43.1952136)",0.0
150.0,,4.0,16043,"(-23.014923800000002, -43.407209)",0.0
98.0,2.0,2.0,3586,"(-22.939630899999997, -43.182965)",0.0
50.0,1.0,2.0,1321,"(-22.8735279, -43.30844550000001)",1.0
72.0,2.0,3.0,2831,"(-22.948937, -43.3408375)",0.0
70.0,2.0,2.0,2831,"(-22.9332164, -43.2381453)",0.0
269.0,2.0,3.0,20573,"(-22.9282465, -43.170790419174786)",0.0
51.0,1.0,2.0,3492,"(-22.9243928, -43.373984899999996)",0.0
50.0,1.0,1.0,4719,"(-22.9719642, -43.1843432)",0.0
70.0,1.0,2.0,2454,"(-22.937072600000004, -43.3354416)",0.0
400.0,,4.0,75496,"(-22.98679, -43.2200859)",0.0
50.0,1.0,2.0,1510,"(-22.9039197, -43.2733079)",0.0
545.0,7.0,4.0,28311,"(-22.9282465, -43.170790419174786)",0.0
76.0,2.0,2.0,4435,"(-22.9674748, -43.18745360000001)",0.0
65.0,1.0,2.0,5851,"(-22.94665860000001, -43.161134600000004)",0.0
214.0,2.0,3.0,22649,"(-22.9839557, -43.202216299999996)",0.0
60.0,1.0,2.0,2595,"(-22.8887124, -43.268156299999994)",0.0
60.0,2.0,2.0,2454,"(-22.9183909, -43.3971464)",1.0
53.0,1.0,2.0,2076,"(-22.8508744, -43.317637100000006)",0.0
60.0,1.0,2.0,1642,"(-22.93048030000001, -43.3555556)",0.0
76.0,2.0,3.0,7544,"(-22.9500463, -43.191054799999996)",0.0
70.0,3.0,2.0,6228,"(-22.944898100000003, -43.1608852)",0.0
147.0,3.0,3.0,8682,"(-22.9393527, -43.1745967)",0.0
42.0,1.0,1.0,1887,"(-22.5144471, -43.1816234)",0.0
66.0,1.0,2.0,2265,"(-22.8831743, -43.320918)",0.0
85.0,2.0,2.0,2642,"(-22.9201766, -43.2558029)",0.0
40.0,1.0,2.0,2076,"(-22.8223955, -43.17498)",0.0
30.0,1.0,1.0,2831,"(-8.8897464, -36.4941119)",0.0
77.0,1.0,3.0,1793,"(-22.9099206, -43.2739525)",0.0
163.0,,3.0,7172,"(-22.9855992, -43.1969718)",0.0
40.0,1.0,1.0,2642,"(-20.4640173, -54.61629470000001)",0.0
65.0,2.0,1.0,5662,"(-27.5660564, -53.9719817)",0.0
80.0,3.0,2.0,6606,"(-22.962171899999998, -43.1737305)",0.0
200.0,,3.0,21705,"(-22.9821776, -43.2133851)",0.0
65.0,2.0,2.0,2265,"(-23.0063466, -43.4358159)",0.0
49.0,1.0,2.0,1321,"(-22.8973512, -43.5483958)",0.0
90.0,2.0,3.0,10381,"(-22.981271300000003, -43.2004164)",0.0
176.0,3.0,3.0,5096,"(-23.020309100000002, -43.453873)",0.0
52.0,1.0,1.0,2642,"(-22.9163901, -43.2221112)",0.0
80.0,3.0,2.0,3964,"(-22.9513701, -43.1842679)",0.0
58.0,2.0,2.0,2265,"(-22.963252, -43.39719960000001)",0.0
70.0,2.0,3.0,3586,"(-22.8435065, -43.3100585)",0.0
45.0,1.0,2.0,2265,"(-22.8529785, -43.314350399999995)",0.0
72.0,2.0,2.0,2265,"(-22.9333806, -43.3347821)",0.0
50.0,1.0,1.0,4530,"(-30.0342118, -51.2393593)",0.0
80.0,1.0,2.0,2642,"(-22.915698100000004, -43.2319433)",0.0
50.0,2.0,2.0,2925,"(-22.924370800000002, -43.208937)",0.0
90.0,2.0,2.0,3209,"(-23.0197394, -43.4600439)",0.0
70.0,2.0,2.0,3775,"(-22.9732812, -43.379219299999995)",0.0
77.0,3.0,3.0,3964,"(-22.9408899, -43.3422564)",1.0
55.0,3.0,2.0,3775,"(-22.9205272, -43.2382218)",0.0
115.0,3.0,3.0,4341,"(-22.917662399999998, -43.24595770000001)",0.0
75.0,3.0,2.0,3209,"(-23.017635000000002, -43.453629)",0.0
47.0,1.0,2.0,2095,"(-22.826610600000002, -43.3112119)",0.0
100.0,2.0,3.0,9437,"(-23.004016800000002, -43.3247702)",0.0
89.0,2.0,2.0,3397,"(-22.912032, -43.226347)",0.0
77.0,3.0,2.0,7172,"(-22.9628006, -43.2070138)",0.0
118.0,3.0,3.0,3775,"(-23.0217033, -43.4559279)",0.0
55.0,1.0,2.0,2454,"(-22.9301996, -43.3938251)",0.0
83.0,1.0,2.0,5662,"(-22.924047, -43.23641660000001)",0.0
57.0,2.0,2.0,2454,"(-22.9548472, -43.3765899)",0.0
63.0,2.0,3.0,1887,"(-22.9070087, -43.30183140000001)",0.0
65.0,1.0,2.0,1510,"(-22.9074238, -43.2770935)",0.0
80.0,1.0,2.0,2265,"(-22.909681399999997, -43.275863)",1.0
159.0,4.0,3.0,5851,"(-23.0134205, -43.3075028)",0.0
65.0,3.0,2.0,3964,"(-22.9408899, -43.3422564)",1.0
70.0,2.0,2.0,3964,"(-22.824164399999997, -43.1736703)",0.0
60.0,1.0,2.0,2642,"(-22.9454515, -43.33619829999999)",0.0
97.0,2.0,3.0,5662,"(-22.9838087, -43.1952591)",0.0
90.0,2.0,3.0,3775,"(-22.93048030000001, -43.3555556)",0.0
120.0,3.0,3.0,9060,"(-22.9670372, -43.2180521)",0.0
69.0,1.0,2.0,3114,"(-22.970773, -43.3975035)",0.0
88.0,3.0,3.0,3303,"(-23.014309, -43.45027260000001)",0.0
250.0,5.0,5.0,18874,"(-22.9506298, -43.192821)",0.0
152.0,,1.0,22649,"(-22.983556, -43.22493770000001)",0.0
36.0,1.0,1.0,2454,"(-22.9332164, -43.2381453)",0.0
81.0,3.0,3.0,4152,"(-23.015578899999998, -43.4480826)",0.0
30.0,1.0,1.0,2359,"(-22.9248707, -43.1767511)",0.0
70.0,2.0,2.0,2171,"(-22.9294089, -43.3756395)",0.0
107.0,,3.0,7361,"(-22.9814243, -43.2383245)",0.0
60.0,,2.0,1699,"(-22.865189899999997, -43.2527453)",0.0
170.0,3.0,4.0,12268,"(-23.014923800000002, -43.407209)",0.0
